z_left,z_right,count,percent,delta_mu,sigma_delta_mu
0.0,0.008,73,4.294117647058823,-141.70633704256346,
0.008,0.02,192,11.294117647058824,-141.74776521748902,
0.02,0.03,203,11.941176470588236,-141.78700197391626,
0.03,0.04,122,7.1764705882352935,-141.73971157255025,
0.04,0.96,1085,63.8235294117647,-141.7691085819021,
0.96,2.0,25,1.4705882352941175,-141.63194444444446,
